City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Airai,TL,58.62,overcast clouds,-8.9266,125.4092,
Orlik,RU,57.63,light rain,52.5178,99.825,Gostevoy Dom Mini Gostinitsa
Yoichi,JP,59.38,overcast clouds,43.2039,140.7703,Marumatta Farm 21
Provideniya,RU,41.7,broken clouds,64.3833,-173.3,
Cape Town,ZA,60.39,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
Qaqortoq,GL,41.83,few clouds,60.7167,-46.0333,Siniffik Inn
Hobart,AU,43.27,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
Nanortalik,GL,40.1,few clouds,60.1432,-45.2371,Hotel Kap Farvel
Surgut,RU,59.18,light intensity shower rain,61.25,73.4167,Business Hotel
Dzhebariki-Khaya,RU,50.83,clear sky,62.2167,135.8,
Busselton,AU,66.15,overcast clouds,-33.65,115.3333,Observatory Guest House
Thompson,CA,55.56,overcast clouds,55.7435,-97.8558,Burntwood Hotel
Petropavlovka,RU,58.69,clear sky,50.6114,105.3196,Tuyaa
Atbasar,KZ,64.85,broken clouds,51.8,68.3333,Гостиничный Комплекс Saad
Lac Du Bonnet,CA,60.4,overcast clouds,50.2536,-96.0612,Drifter's Inn
Bluff,NZ,42.76,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
East London,ZA,50.94,clear sky,-33.0153,27.9116,Tu Casa
Tignere,CM,65.07,moderate rain,7.3667,12.65,SADECK
Inhambane,MZ,64.38,clear sky,-23.865,35.3833,Oceano
Xai-Xai,MZ,61.36,clear sky,-25.0519,33.6442,Complexo da Familia
Cherskiy,RU,48.09,scattered clouds,68.75,161.3,Gostinitsa
Rawson,AR,53.71,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
Hermanus,ZA,50.81,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
Lagoa,PT,66.99,clear sky,39.05,-27.9833,Casa Das Faias
Port Alfred,ZA,56.95,overcast clouds,-33.5906,26.891,The Halyards Hotel
Esperance,AU,59.2,clear sky,-33.8667,121.9,Hospitality Esperance
Saint-Philippe,RE,69.39,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
Husavik,IS,56.77,broken clouds,66.0449,-17.3389,Bjarnabúð
Iqaluit,CA,42.53,broken clouds,63.7506,-68.5145,Frobisher Inn
Chara,RU,53.55,clear sky,56.9064,118.2631,
Ogulin,HR,63.61,overcast clouds,45.2661,15.2286,Hotel Frankopan
Tuktoyaktuk,CA,50.0,broken clouds,69.4541,-133.0374,End of The Road Ltd.
New Norfolk,AU,42.91,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
Sistranda,NO,53.56,overcast clouds,63.7256,8.834,Hotell Frøya
Torbay,CA,66.97,few clouds,47.6666,-52.7314,Gallows Cove
Lukulu,ZM,62.92,clear sky,-14.3707,23.242,Ruth Guest House
Yellowknife,CA,55.92,broken clouds,62.456,-114.3525,The Explorer Hotel
Mar Del Plata,AR,54.09,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
Sangerhausen,DE,69.19,scattered clouds,51.4667,11.3,Rosen Hotel
Chokurdakh,RU,46.38,overcast clouds,70.6333,147.9167,
Te Anau,NZ,41.04,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
Mount Gambier,AU,46.15,overcast clouds,-37.8333,140.7667,The Commodore
Nome,US,44.67,scattered clouds,64.5011,-165.4064,Dredge 7 Inn
