City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Butaritari,KI,3.0707,172.7902,82.13,75,13,14.61,light rain
Ushuaia,AR,-54.8,-68.3,33.46,93,40,16.11,scattered clouds
Padang,ID,-0.9492,100.3543,76.62,91,100,2.89,light rain
Airai,TL,-8.9266,125.4092,58.62,94,95,4.23,overcast clouds
Orlik,RU,52.5178,99.825,57.63,89,100,1.63,light rain
Yoichi,JP,43.2039,140.7703,59.38,96,100,3.98,overcast clouds
Hilo,US,19.7297,-155.09,79.61,68,100,1.01,overcast clouds
Rikitea,PF,-23.1203,-134.9692,72.37,66,18,5.46,few clouds
Karaton,ID,-6.3424,106.1045,73.26,94,82,1.19,broken clouds
Balykshi,KZ,47.0667,51.8667,80.6,36,75,8.95,light intensity shower rain
Provideniya,RU,64.3833,-173.3,41.7,86,56,9.35,broken clouds
Namatanai,PG,-3.6667,152.4333,77.85,81,39,8.01,light rain
Cape Town,ZA,-33.9258,18.4232,60.39,67,0,8.05,clear sky
Atuona,PF,-9.8,-139.0333,78.24,65,4,21.16,clear sky
La Libertad,EC,-2.2333,-80.9,74.86,73,75,9.22,broken clouds
Qaqortoq,GL,60.7167,-46.0333,41.83,73,18,7.31,few clouds
Muisne,EC,0.6,-80.0333,77.13,82,97,12.88,overcast clouds
Hobart,AU,-42.8794,147.3294,43.27,96,46,8.05,scattered clouds
Mataura,NZ,-46.1927,168.8643,38.73,92,95,1.9,overcast clouds
Clyde River,CA,70.4692,-68.5914,32.23,93,100,27.63,light snow
Nanortalik,GL,60.1432,-45.2371,40.1,79,23,4.14,few clouds
Bambanglipuro,ID,-7.95,110.2833,75.94,88,37,3.71,scattered clouds
Surgut,RU,61.25,73.4167,59.18,67,75,11.01,light intensity shower rain
Dzhebariki-Khaya,RU,62.2167,135.8,50.83,89,8,1.95,clear sky
Busselton,AU,-33.65,115.3333,66.15,67,100,21.14,overcast clouds
Leningradskiy,RU,69.3833,178.4167,34.02,89,100,9.48,light snow
Upata,VE,8.0086,-62.3989,86.2,65,100,6.22,overcast clouds
Punta Arenas,CL,-53.15,-70.9167,39.31,60,40,14.97,scattered clouds
Paraiso,CR,9.8383,-83.8656,75.11,91,100,2.04,overcast clouds
Thompson,CA,55.7435,-97.8558,55.56,76,100,17.27,overcast clouds
Petropavlovka,RU,50.6114,105.3196,58.69,84,6,3.24,clear sky
Atbasar,KZ,51.8,68.3333,64.85,62,65,3.22,broken clouds
Lac Du Bonnet,CA,50.2536,-96.0612,60.4,90,89,13.15,overcast clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,60,0,13.8,clear sky
Bluff,NZ,-46.6,168.3333,42.76,69,75,1.77,broken clouds
East London,ZA,-33.0153,27.9116,50.94,87,0,4.61,clear sky
Tignere,CM,7.3667,12.65,65.07,96,100,3.74,moderate rain
Inhambane,MZ,-23.865,35.3833,64.38,72,0,3.44,clear sky
Xai-Xai,MZ,-25.0519,33.6442,61.36,53,0,6.82,clear sky
Cherskiy,RU,68.75,161.3,48.09,45,45,6.22,scattered clouds
Thap Than,TH,15.4606,99.8917,86.86,71,100,5.66,light rain
Kapaa,US,22.0752,-159.319,79.12,86,20,10.36,few clouds
Rawson,AR,-43.3002,-65.1023,53.71,40,41,20.94,scattered clouds
Hermanus,ZA,-34.4187,19.2345,50.81,55,71,7.9,broken clouds
Tanout,NE,14.9709,8.8879,87.22,37,64,14.32,broken clouds
Lagoa,PT,39.05,-27.9833,66.99,88,4,9.75,clear sky
Port Alfred,ZA,-33.5906,26.891,56.95,68,100,9.28,overcast clouds
Egvekinot,RU,66.3167,-179.1667,34.81,100,100,3.15,overcast clouds
Ixtapa,MX,20.7,-105.2,83.43,74,100,4.0,overcast clouds
Vaini,TO,-21.2,-175.2,73.56,88,75,6.91,broken clouds
Ouango,CF,4.3133,22.5552,71.08,95,72,3.53,broken clouds
Erzin,TR,36.9559,36.2,74.35,75,0,1.03,clear sky
Dabakala,CI,8.3667,-4.4333,73.09,96,100,6.11,overcast clouds
Esperance,AU,-33.8667,121.9,59.2,81,0,13.18,clear sky
Lavrentiya,RU,65.5833,-171.0,39.81,91,70,15.32,broken clouds
Kendari,ID,-3.945,122.4989,73.99,95,100,3.11,overcast clouds
Cabo San Lucas,MX,22.8909,-109.9124,94.3,63,63,3.89,broken clouds
Constantine,DZ,36.365,6.6147,87.21,23,0,12.66,clear sky
Pangai,TO,-19.8,-174.35,78.91,83,75,13.8,broken clouds
Saint-Philippe,RE,-21.3585,55.7679,69.39,78,22,10.16,few clouds
Policoro,IT,40.2115,16.6726,80.22,51,0,4.88,clear sky
Husavik,IS,66.0449,-17.3389,56.77,51,74,6.51,broken clouds
Puerto Ayora,EC,-0.7393,-90.3518,76.96,95,75,8.01,broken clouds
Itacarambi,BR,-15.1022,-44.0919,84.74,22,0,4.85,clear sky
Carnarvon,AU,-24.8667,113.6333,71.83,76,100,6.29,light rain
Oranjestad,AW,12.524,-70.027,84.15,84,40,18.41,scattered clouds
Iqaluit,CA,63.7506,-68.5145,42.53,56,75,16.11,broken clouds
Saint George,US,37.1041,-113.5841,99.43,8,0,5.75,clear sky
Williamsburg,US,37.2707,-76.7075,82.78,71,0,9.22,clear sky
Touros,BR,-5.1989,-35.4608,81.59,63,13,11.65,few clouds
Jiaocheng,CN,24.6774,116.1389,73.62,100,100,2.71,overcast clouds
Chara,RU,56.9064,118.2631,53.55,69,8,0.45,clear sky
Salalah,OM,17.0151,54.0924,86.09,84,40,9.22,scattered clouds
Ogulin,HR,45.2661,15.2286,63.61,97,100,3.69,overcast clouds
Tuktoyaktuk,CA,69.4541,-133.0374,50.0,57,75,10.36,broken clouds
Itarema,BR,-2.9248,-39.9167,82.33,71,23,11.36,few clouds
Ribeira Grande,PT,38.5167,-28.7,72.0,73,40,19.57,scattered clouds
Dikson,RU,73.5069,80.5464,34.32,99,97,9.04,overcast clouds
New Norfolk,AU,-42.7826,147.0587,42.91,90,91,2.68,overcast clouds
Alofi,NU,-19.0595,-169.9187,73.29,88,70,5.75,broken clouds
Qaanaaq,GL,77.484,-69.3632,36.27,76,12,2.59,few clouds
Albany,US,42.6001,-73.9662,76.73,73,89,1.99,overcast clouds
Sistranda,NO,63.7256,8.834,53.56,95,100,9.33,overcast clouds
Nabire,ID,-3.3667,135.4833,75.02,94,95,3.65,overcast clouds
Avarua,CK,-21.2078,-159.775,73.45,83,99,2.3,overcast clouds
Torbay,CA,47.6666,-52.7314,66.97,60,20,13.8,few clouds
Cabadiangan,PH,9.7531,122.4739,78.84,82,89,2.86,overcast clouds
Kahului,US,20.8947,-156.47,80.96,75,20,19.57,few clouds
