City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Esperance,-33.8667,121.9,55.72,60,2,10.85,AU,2022-06-15 15:48:26
1,Torquay,50.4638,-3.5143,74.75,61,48,6.55,GB,2022-06-15 15:48:26
2,Albany,42.6001,-73.9662,80.92,54,47,3.98,US,2022-06-15 15:45:42
3,Bedesa,8.9,40.7833,71.6,41,55,5.64,ET,2022-06-15 15:48:26
4,Constitucion,-35.3333,-72.4167,56.1,74,3,4.21,CL,2022-06-15 15:48:19
5,Kavieng,-2.5744,150.7967,81.63,77,87,9.4,PG,2022-06-15 15:45:19
6,Codrington,-38.2667,141.9667,55.69,90,96,16.84,AU,2022-06-15 15:48:27
7,Flin Flon,54.7682,-101.865,57.04,88,75,6.91,CA,2022-06-15 15:47:46
8,Virginia Beach,36.8529,-75.978,86.05,51,0,4.61,US,2022-06-15 15:48:16
9,Ulladulla,-35.35,150.4667,54.3,56,40,7.38,AU,2022-06-15 15:48:28
10,Avarua,-21.2078,-159.775,75.25,83,78,4.61,CK,2022-06-15 15:48:28
11,Los Llanos De Aridane,28.6585,-17.9182,71.35,76,40,13.8,ES,2022-06-15 15:48:28
12,Hobart,-42.8794,147.3294,46.06,95,100,0.0,AU,2022-06-15 15:47:35
13,Leh,34.1667,77.5833,55.49,48,69,6.6,IN,2022-06-15 15:48:29
14,Starozhilovo,54.2254,39.916,62.49,76,100,7.83,RU,2022-06-15 15:48:29
15,Rikitea,-23.1203,-134.9692,72.54,70,93,7.47,PF,2022-06-15 15:48:29
16,Laguna,38.421,-121.4238,80.08,37,0,5.75,US,2022-06-15 15:43:55
17,Port Alfred,-33.5906,26.891,49.17,79,83,7.0,ZA,2022-06-15 15:48:30
18,Ushuaia,-54.8,-68.3,42.46,70,75,5.75,AR,2022-06-15 15:47:48
19,Kodiak,57.79,-152.4072,51.31,87,100,5.75,US,2022-06-15 15:48:30
20,Bredasdorp,-34.5322,20.0403,50.29,67,10,4.41,ZA,2022-06-15 15:48:31
21,Provideniya,64.3833,-173.3,36.34,98,92,5.3,RU,2022-06-15 15:48:31
22,Bandarbeyla,9.4942,50.8122,78.06,79,59,31.7,SO,2022-06-15 15:48:31
23,Iralaya,15.0,-83.2333,81.0,82,100,12.66,HN,2022-06-15 15:48:32
24,Arraial Do Cabo,-22.9661,-42.0278,75.16,49,40,9.22,BR,2022-06-15 15:48:32
25,Puerto Ayora,-0.7393,-90.3518,76.96,87,95,8.99,EC,2022-06-15 15:48:32
26,Jamestown,42.097,-79.2353,84.94,75,49,5.99,US,2022-06-15 15:47:29
27,Yellowknife,62.456,-114.3525,68.52,49,75,3.44,CA,2022-06-15 15:44:36
28,Qaanaaq,77.484,-69.3632,30.52,60,41,1.19,GL,2022-06-15 15:48:33
29,Mataura,-46.1927,168.8643,45.48,91,75,7.96,NZ,2022-06-15 15:48:33
30,Linjiang,41.8069,126.9078,59.0,99,98,2.73,CN,2022-06-15 15:48:34
31,Butaritari,3.0707,172.7902,82.04,74,100,12.24,KI,2022-06-15 15:48:34
32,Mabaruma,8.2,-59.7833,82.4,83,75,4.61,GY,2022-06-15 15:48:34
